"","Station","Traffic","lat","lon"
"262","SAINT-FRANCOIS-XAVIER",1797081,48.8518632147979,2.31403452688812
"263","SAINT-GEORGES",1286815,48.8785085363002,2.33758851215148
"264","SAINT-GERMAIN DES PRES",4443897,48.8535055897077,2.3323721632208
"265","SAINT-JACQUES",2030314,48.8332522883745,2.33622001540028
"266","SAINT-LAZARE",44936936,48.8755778691635,2.326185658552
"267","SAINT-MANDE-TOURELLE",6069483,48.8462977572576,2.41867310093048
"268","SAINT-MARCEL",2101575,48.8395141857768,2.36140877914038
"269","SAINT-MAUR",2961357,48.8639878082439,2.38007329534159
"270","SAINT-MICHEL",8695006,48.8532875817267,2.34346845196892
"271","SAINT-PAUL",6591103,48.8551436006388,2.36065335403361
"272","SAINT-PHILIPPE-DU-ROULE",2840177,48.8721798206485,2.30982009380661
"273","SAINT-PLACIDE",3278515,48.8465803886283,2.32693263560201
"274","SAINT-SEBASTIEN-FROISSART",1804340,48.8612805878047,2.36702409525746
"275","SAINT-SULPICE",2532665,48.8508047851976,2.33086756439724
"276","SEGUR",1735579,48.8467524550776,2.30782041849586
"277","SENTIER",3484652,48.8674133308826,2.3466136387446
"278","SEVRES-BABYLONE",5387363,48.8512043552606,2.32587286292213
"279","SEVRES-LECOURBE",1992343,48.8451307700065,2.31018390371145
"280","SIMPLON",2994372,48.8946326891969,2.34709106533484
"281","SOLFERINO",2534934,48.8585512442859,2.32268062216292
"282","STALINGRAD",7089762,48.88430478953,2.3670850145355
"283","STRASBOURG-SAINT-DENIS",9967686,48.8691997057755,2.35409710573389
"284","SULLY-MORLAND",1468391,48.8510338403896,2.36186696356924
"285","TELEGRAPHE",2465718,48.8753936353787,2.3985900637686
"286","TEMPLE",1222777,48.8663687823143,2.36108072227889
"287","TERNES",3833182,48.8780661989513,2.29803071264819
"288","TOLBIAC",3419771,48.8265068988465,2.35724192740466
"289","TRINITE-D'ESTIENNE D'ORVES",2302331,48.87650879316,2.33305807671909
"290","TROCADERO",9516364,48.8629708358403,2.2870198439694
"291","TUILERIES",2877169,48.8644970966975,2.33031418026416
"292","VANEAU",959858,48.848871662506,2.32193434751113
"293","VARENNE",1552036,48.8575166012889,2.31553023354222
"294","VAUGIRARD",3850737,48.839568032804,2.30098263992519
"295","VAVIN",2308243,48.8420036541946,2.32900321886739
"296","VICTOR HUGO",3870906,48.8696716618644,2.28526726839526
"297","VILLEJUIF-LEO LAGRANGE",2545252,48.8041740664156,2.36394352657996
"298","VILLEJUIF-LOUIS ARAGON",6360814,48.7870020157205,2.36697471484243
"299","VILLEJUIF-PAUL VAILLANT-COUTURIER",2244984,48.7959447270881,2.3679661373898
"300","VILLIERS",6257050,48.8810543983372,2.31527055095629
"301","VOLONTAIRES",2610342,48.8416970273909,2.30804114557479
"302","VOLTAIRE",5217446,48.8578758428685,2.37988391957515
"303","WAGRAM",2575870,48.8838739610152,2.30465144209881
